ANO;MES;DATA;EMPRESA;FAZENDA;UF;MUNICIPIO;AREA_T;AREA_PRODU;PRECIP_CHIRPS_MM;TEMP_MEDIA_C;UMID_MEDIA_PCT;TEMP_MIN_C;UMID_MIN_PCT;TEMP_MAX_C;UMID_MAX_PCT;NOITES_FRIAS_Eucalipto_<15C;NOITES_FRIAS_Pinus_<5C;DIRECAO_VENTO_GRAUS
2018.0;1.0;2018-01-01;Alvorada;Aline;MG;Andrelândia;47,62;25,72;329,25;20,88;81,05;15,64;40,04;28,34;99,16;0,00;0,00;7,47
2018.0;1.0;2018-01-01;Alvorada;Alvorada;PR;Piraí do Sul;2305,67;1515,62;288,76;20,68;84,71;15,15;42,51;28,69;99,80;0,00;0,00;10,77
2018.0;1.0;2018-01-01;Alvorada;Antonio Fontes;MG;Andrelândia;56,25;32,74;320,06;20,88;81,05;15,64;40,04;28,34;99,16;0,00;0,00;7,47
2018.0;1.0;2018-01-01;Alvorada;Anézio;MG;Liberdade;95,47;48,54;320,19;20,43;81,65;15,38;38,64;28,08;99,40;0,00;0,00;3,20
2018.0;1.0;2018-01-01;Alvorada;Aterrado;MG;Liberdade;200,75;92,25;320,19;20,43;81,65;15,38;38,64;28,08;99,40;0,00;0,00;3,20
2018.0;1.0;2018-01-01;Alvorada;Barra Grande;PR;Doutor Ulysses;494,73;140,95;298,10;21,26;86,81;15,51;38,27;31,40;100,00;0,00;0,00;17,60
2018.0;1.0;2018-01-01;Alvorada;Barro Branco;SP;Apiaí;421,02;187,65;287,42;20,80;87,72;14,38;40,71;30,85;100,00;1,00;0,00;102,45
2018.0;1.0;2018-01-01;Alvorada;Bela Vista;PR;Arapoti;918,50;527,00;274,01;21,74;84,35;15,47;46,10;30,22;100,00;0,00;0,00;0,70
2018.0;1.0;2018-01-01;Alvorada;Boa Vista;PR;Ventania;110,44;41,38;279,33;21,70;84,41;15,43;46,19;30,18;100,00;0,00;0,00;1,13
2018.0;1.0;2018-01-01;Alvorada;Boca do Mato;MG;Bom Jardim de Minas;29,07;14,78;314,93;21,33;80,44;16,18;35,88;29,44;99,77;0,00;0,00;14,16
2018.0;1.0;2018-01-01;Alvorada;Boqueirão;PR;Ibaiti;123,34;58,52;267,95;22,01;83,81;14,69;45,76;30,63;100,00;1,00;0,00;1,78
2018.0;1.0;2018-01-01;Alvorada;Butiá Grande;PR;Jaguariaíva;14,22;12,24;306,45;20,59;85,80;15,29;39,69;29,02;99,92;0,00;0,00;1,14
2018.0;1.0;2018-01-01;Alvorada;Cachoeira Alta;MG;Andrelândia;93,39;47,08;294,82;21,02;80,05;15,92;37,96;28,54;99,61;0,00;0,00;10,44
2018.0;1.0;2018-01-01;Alvorada;Cadeado I;PR;Jaguariaíva;21,17;12,29;294,23;20,55;86,51;15,22;37,62;29,99;100,00;0,00;0,00;9,13
2018.0;1.0;2018-01-01;Alvorada;Cadeado II;PR;Jaguariaíva;22,00;16,79;294,23;20,55;86,51;15,22;37,62;29,99;100,00;0,00;0,00;9,13
2018.0;1.0;2018-01-01;Alvorada;Capichingui;MG;Andrelândia;36,45;20,09;317,87;20,88;81,05;15,64;40,04;28,34;99,16;0,00;0,00;7,47
2018.0;1.0;2018-01-01;Alvorada;Capão Redondo;MG;Andrelândia;44,38;23,48;304,07;20,60;81,11;15,56;38,92;28,13;99,22;0,00;0,00;7,23
2018.0;1.0;2018-01-01;Alvorada;Caratuva II;PR;Arapoti;1567,93;786,24;265,91;22,01;83,81;14,69;45,76;30,63;100,00;1,00;0,00;1,78
2018.0;1.0;2018-01-01;Alvorada;Cercado Grande;PR;Jaguariaíva;443,21;239,26;318,51;20,47;85,33;15,07;39,70;28,71;99,79;0,00;0,00;1,09
2018.0;1.0;2018-01-01;Alvorada;Cinzas;PR;Jaguariaíva;253,08;107,82;301,85;20,25;85,57;14,92;39,61;28,28;99,71;1,00;0,00;4,87
