ANO;MES;DATA;EMPRESA;FAZENDA;UF;MUNICIPIO;AREA_T;AREA_PRODU;PRECIP_CHIRPS_MM;TEMP_MEDIA_C;UMID_MEDIA_PCT;TEMP_MIN_C;UMID_MIN_PCT;TEMP_MAX_C;UMID_MAX_PCT;NOITES_FRIAS_Eucalipto_<15C;NOITES_FRIAS_Pinus_<5C;DIRECAO_VENTO_GRAUS
2013.0;1.0;2013-01-01;Alvorada;Aline;MG;Andrelândia;47,62;25,72;474,27;19,50;87,02;14,67;52,39;27,23;99,75;2,00;0,00;5,83
2013.0;1.0;2013-01-01;Alvorada;Alvorada;PR;Piraí do Sul;2305,67;1515,62;120,36;20,02;82,25;12,09;45,22;27,55;99,81;4,00;0,00;1,46
2013.0;1.0;2013-01-01;Alvorada;Antonio Fontes;MG;Andrelândia;56,25;32,74;471,97;19,50;87,02;14,67;52,39;27,23;99,75;2,00;0,00;5,83
2013.0;1.0;2013-01-01;Alvorada;Anézio;MG;Liberdade;95,47;48,54;518,50;19,02;87,61;13,99;52,42;26,58;99,62;4,00;0,00;0,31
2013.0;1.0;2013-01-01;Alvorada;Aterrado;MG;Liberdade;200,75;92,25;518,50;19,02;87,61;13,99;52,42;26,58;99,62;4,00;0,00;0,31
2013.0;1.0;2013-01-01;Alvorada;Barra Grande;PR;Doutor Ulysses;494,73;140,95;127,67;20,19;86,43;12,88;46,72;29,62;100,00;4,00;0,00;15,88
2013.0;1.0;2013-01-01;Alvorada;Barro Branco;SP;Apiaí;421,02;187,65;95,61;19,70;87,68;13,10;54,20;29,08;100,00;5,00;0,00;5,99
2013.0;1.0;2013-01-01;Alvorada;Bela Vista;PR;Arapoti;918,50;527,00;104,03;21,33;80,09;13,27;43,33;28,63;99,88;3,00;0,00;0,68
2013.0;1.0;2013-01-01;Alvorada;Boa Vista;PR;Ventania;110,44;41,38;96,06;21,31;80,14;13,24;43,46;28,60;99,87;3,00;0,00;1,02
2013.0;1.0;2013-01-01;Alvorada;Boca do Mato;MG;Bom Jardim de Minas;29,07;14,78;485,79;19,91;86,55;15,05;47,90;28,23;99,78;0,00;0,00;1,62
2013.0;1.0;2013-01-01;Alvorada;Boqueirão;PR;Ibaiti;123,34;58,52;91,01;21,70;79,14;13,44;41,70;29,22;99,65;3,00;0,00;0,45
2013.0;1.0;2013-01-01;Alvorada;Butiá Grande;PR;Jaguariaíva;14,22;12,24;113,57;19,60;85,02;11,92;46,30;27,57;99,85;7,00;0,00;6,76
2013.0;1.0;2013-01-01;Alvorada;Cachoeira Alta;MG;Andrelândia;93,39;47,08;497,77;19,61;86,66;14,79;49,68;27,56;99,58;1,00;0,00;12,08
2013.0;1.0;2013-01-01;Alvorada;Cadeado I;PR;Jaguariaíva;21,17;12,29;133,26;19,53;86,13;12,10;43,53;30,15;100,00;6,00;0,00;3,40
2013.0;1.0;2013-01-01;Alvorada;Cadeado II;PR;Jaguariaíva;22,00;16,79;133,26;19,53;86,13;12,10;43,53;30,15;100,00;6,00;0,00;3,40
2013.0;1.0;2013-01-01;Alvorada;Capichingui;MG;Andrelândia;36,45;20,09;469,78;19,50;87,02;14,67;52,39;27,23;99,75;2,00;0,00;5,83
2013.0;1.0;2013-01-01;Alvorada;Capão Redondo;MG;Andrelândia;44,38;23,48;463,37;19,25;87,10;14,44;51,70;26,97;99,69;2,00;0,00;3,28
2013.0;1.0;2013-01-01;Alvorada;Caratuva II;PR;Arapoti;1567,93;786,24;96,61;21,70;79,14;13,44;41,70;29,22;99,65;3,00;0,00;0,45
2013.0;1.0;2013-01-01;Alvorada;Cercado Grande;PR;Jaguariaíva;443,21;239,26;114,01;19,57;84,43;11,89;46,53;27,35;99,67;6,00;0,00;337,88
2013.0;1.0;2013-01-01;Alvorada;Cinzas;PR;Jaguariaíva;253,08;107,82;117,81;19,37;84,62;11,53;46,30;27,10;99,58;7,00;0,00;9,87
2013.0;1.0;2013-01-01;Alvorada;Curraleiro;MG;Liberdade;135,04;65,82;517,65;19,02;87,61;13,99;52,42;26,58;99,62;4,00;0,00;0,31
2013.0;1.0;2013-01-01;Alvorada;Dois Corregos;MG;Bom Jardim de Minas;750,55;524,95;504,66;19,39;86,94;14,61;52,33;27,11;99,63;2,00;0,00;10,41
2013.0;1.0;2013-01-01;Alvorada;Elias;MG;Bom Jardim de Minas;262,93;120,10;500,60;19,35;86,78;14,52;50,14;27,30;99,57;2,00;0,00;0,68
2013.0;1.0;2013-01-01;Alvorada;Enes;PR;Jaguariaíva;5,99;5,70;143,19;19,53;86,13;12,10;43,53;30,15;100,00;6,00;0,00;3,40
2013.0;1.0;2013-01-01;Alvorada;Estação;PR;Sengés;4,82;4,45;128,91;19,53;86,13;12,10;43,53;30,15;100,00;6,00;0,00;3,40
2013.0;1.0;2013-01-01;Alvorada;Estiva;MG;Andrelândia;43,35;22,00;505,71;19,39;86,94;14,61;52,33;27,11;99,63;2,00;0,00;10,41
2013.0;1.0;2013-01-01;Alvorada;Fumal;MG;Andrelândia;295,70;206,81;474,27;19,50;87,02;14,67;52,39;27,23;99,75;2,00;0,00;5,83
2013.0;1.0;2013-01-01;Alvorada;Gentil;PR;Jaguariaíva;128,65;53,35;113,36;19,35;84,97;11,54;45,70;27,20;99,63;8,00;0,00;0,01
2013.0;1.0;2013-01-01;Alvorada;Imbaú;PR;Congonhinhas;963,14;365,06;121,17;22,19;79,83;14,24;45,24;29,06;99,53;1,00;0,00;1,81
2013.0;1.0;2013-01-01;Alvorada;Imbutaia;MG;Bom Jardim de Minas;79,55;48,70;496,86;19,35;86,78;14,52;50,14;27,30;99,57;2,00;0,00;0,68
2013.0;1.0;2013-01-01;Alvorada;Imbutaia 02;MG;Bom Jardim de Minas;618,75;373,26;498,68;19,91;86,55;15,05;47,90;28,23;99,78;0,00;0,00;1,62
2013.0;1.0;2013-01-01;Alvorada;Imbutaia 02-A;MG;Bom Jardim de Minas;28,45;16,38;500,60;19,49;86,72;14,65;49,58;27,53;99,62;2,00;0,00;0,30
2013.0;1.0;2013-01-01;Alvorada;Jacaranda;MG;Andrelândia;69,79;47,65;473,90;19,50;87,02;14,67;52,39;27,23;99,75;2,00;0,00;5,83
2013.0;1.0;2013-01-01;Alvorada;Jorginho;MG;Arantina;588,53;357,80;499,20;19,31;86,89;14,52;51,42;27,12;99,59;2,00;0,00;6,47
2013.0;1.0;2013-01-01;Alvorada;José Maria;MG;Liberdade;32,01;21,80;460,31;19,00;87,19;14,18;51,02;26,71;99,62;4,00;0,00;7,41
2013.0;1.0;2013-01-01;Alvorada;João Fontes;MG;Andrelândia;45,48;30,27;503,65;19,34;86,91;14,56;51,80;27,11;99,61;2,00;0,00;8,32
2013.0;1.0;2013-01-01;Alvorada;João Rico;PR;Jaguariaíva;47,60;25,05;114,14;19,60;85,02;11,92;46,30;27,57;99,85;7,00;0,00;6,76
2013.0;1.0;2013-01-01;Alvorada;Karuana;PR;Ventania;335,82;82,32;89,32;21,70;79,14;13,44;41,70;29,22;99,65;3,00;0,00;0,45
2013.0;1.0;2013-01-01;Alvorada;Karuana II;PR;Ventania;1254,33;524,50;89,49;21,70;79,14;13,44;41,70;29,22;99,65;3,00;0,00;0,45
2013.0;1.0;2013-01-01;Alvorada;Lagoa;PR;Jaguariaíva;24,21;10,78;131,97;19,53;86,13;12,10;43,53;30,15;100,00;6,00;0,00;3,40
2013.0;1.0;2013-01-01;Alvorada;Liberdade 01;MG;Liberdade;99,30;44,33;465,02;19,00;87,19;14,18;51,02;26,71;99,62;4,00;0,00;7,41
2013.0;1.0;2013-01-01;Alvorada;Liberdade 02;MG;Liberdade;122,07;52,25;503,95;18,87;86,93;14,07;49,51;26,55;99,49;5,00;0,00;24,27
2013.0;1.0;2013-01-01;Alvorada;Lima;MG;Andrelândia;50,88;39,63;474,27;19,50;87,02;14,67;52,39;27,23;99,75;2,00;0,00;5,83
2013.0;1.0;2013-01-01;Alvorada;Maria Isabel;MG;Bom Jardim de Minas;72,46;39,77;494,89;19,31;86,89;14,52;51,42;27,12;99,59;2,00;0,00;6,47
2013.0;1.0;2013-01-01;Alvorada;Maria Isabel 2;MG;Arantina;58,66;21,64;500,10;19,31;86,89;14,52;51,42;27,12;99,59;2,00;0,00;6,47
2013.0;1.0;2013-01-01;Alvorada;Marreca SP;SP;Itapirapuã Paulista;676,15;236,69;99,66;20,62;85,68;13,21;46,65;30,43;100,00;4,00;0,00;0,90
2013.0;1.0;2013-01-01;Alvorada;Mato dos Pilões;MG;Liberdade;101,85;54,49;483,27;19,00;87,19;14,18;51,02;26,71;99,62;4,00;0,00;7,41
2013.0;1.0;2013-01-01;Alvorada;Milica;MG;Bom Jardim de Minas;9,67;3,83;495,37;19,31;86,89;14,52;51,42;27,12;99,59;2,00;0,00;6,47
2013.0;1.0;2013-01-01;Alvorada;Moreira;PR;Doutor Ulysses;226,26;67,38;125,53;19,71;86,42;12,51;45,25;28,85;100,00;5,00;0,00;1,02
2013.0;1.0;2013-01-01;Alvorada;Moreiras II;PR;Dr.Ulysses;66,98;28,76;124,71;19,71;86,42;12,51;45,25;28,85;100,00;5,00;0,00;1,02
2013.0;1.0;2013-01-01;Alvorada;Morro Azul;PR;Jaguariaíva;881,66;396,98;133,50;19,53;86,13;12,10;43,53;30,15;100,00;6,00;0,00;3,40
2013.0;1.0;2013-01-01;Alvorada;Morro Grande;MG;Bom Jardim de Minas;28,86;9,23;476,80;19,35;86,78;14,52;50,14;27,30;99,57;2,00;0,00;0,68
2013.0;1.0;2013-01-01;Alvorada;Palmital;MG;Arantina;102,04;66,74;492,88;19,00;87,19;14,18;51,02;26,71;99,62;4,00;0,00;7,41
2013.0;1.0;2013-01-01;Alvorada;Paracatu;MG;Liberdade;79,09;51,09;480,61;19,00;87,19;14,18;51,02;26,71;99,62;4,00;0,00;7,41
2013.0;1.0;2013-01-01;Alvorada;Pessegueiro;PR;Doutor Ulysses;110,22;66,95;120,88;19,71;86,42;12,51;45,25;28,85;100,00;5,00;0,00;1,02
2013.0;1.0;2013-01-01;Alvorada;Policial;MG;Bom Jardim de Minas;100,06;51,59;500,60;19,35;86,78;14,52;50,14;27,30;99,57;2,00;0,00;0,68
2013.0;1.0;2013-01-01;Alvorada;Ponderosa;PR;Arapoti;905,35;465,27;117,28;20,81;80,86;12,72;45,01;27,93;99,60;3,00;0,00;2,18
2013.0;1.0;2013-01-01;Alvorada;Pontão;PR;Jaguariaíva;183,62;60,06;132,58;19,59;85,61;12,07;45,24;27,66;100,00;7,00;0,00;3,29
2013.0;1.0;2013-01-01;Alvorada;Ramos;PR;Sengés;70,04;38,16;131,92;19,53;86,13;12,10;43,53;30,15;100,00;6,00;0,00;3,40
2013.0;1.0;2013-01-01;Alvorada;Realeza;PR;Sengés;1153,52;684,81;119,04;19,56;84,83;12,23;43,96;27,39;99,64;5,00;0,00;26,23
2013.0;1.0;2013-01-01;Alvorada;Ribeirão Bonito;PR;Pinhalão;621,16;375,29;106,35;22,02;78,47;13,87;41,24;29,46;99,57;1,00;0,00;3,23
2013.0;1.0;2013-01-01;Alvorada;Ribeirão da Cruz;MG;Andrelândia;66,69;45,74;469,93;19,50;87,02;14,67;52,39;27,23;99,75;2,00;0,00;5,83
2013.0;1.0;2013-01-01;Alvorada;Roncador;PR;Arapoti;65,61;0,00;119,99;21,68;79,79;13,65;42,46;29,11;99,91;3,00;0,00;0,09
2013.0;1.0;2013-01-01;Alvorada;Rosa do Vale;PR;Arapoti;133,98;82,61;112,57;21,31;80,14;13,24;43,46;28,60;99,87;3,00;0,00;1,02
2013.0;1.0;2013-01-01;Alvorada;Safira;MG;Andrelândia;77,12;58,79;490,22;19,61;86,66;14,79;49,68;27,56;99,58;1,00;0,00;12,08
2013.0;1.0;2013-01-01;Alvorada;Sampaio (Cabana dos Leões);PR;Jaguariaíva;13,04;7,10;124,44;19,54;86,30;12,31;44,97;28,01;100,00;5,00;0,00;23,29
2013.0;1.0;2013-01-01;Alvorada;Santa Helena;PR;Curiúva;545,21;224,06;105,04;21,94;79,39;13,07;44,21;29,18;99,42;3,00;0,00;1,89
2013.0;1.0;2013-01-01;Alvorada;Santo André;PR;Jaguariaíva;387,64;234,80;126,89;19,46;86,04;12,11;44,39;27,65;100,00;6,00;0,00;1,82
2013.0;1.0;2013-01-01;Alvorada;Sebastião;MG;Bom Jardim de Minas;29,00;21,36;499,11;19,91;86,55;15,05;47,90;28,23;99,78;0,00;0,00;1,62
2013.0;1.0;2013-01-01;Alvorada;Serra da Garça;MG;Liberdade;93,71;46,86;503,85;19,00;87,22;14,17;51,13;26,70;99,62;4,00;0,00;7,95
2013.0;1.0;2013-01-01;Alvorada;Silvania;MG;Liberdade;110,06;45,70;518,50;19,02;87,61;13,99;52,42;26,58;99,62;4,00;0,00;0,31
2013.0;1.0;2013-01-01;Alvorada;Sobradinho;SP;Bom Sucesso de Itararé;286,15;121,93;104,80;19,36;86,93;12,51;45,96;28,17;100,00;5,00;0,00;10,76
2013.0;1.0;2013-01-01;Alvorada;São João;MG;Liberdade;171,37;85,66;476,23;19,00;87,19;14,18;51,02;26,71;99,62;4,00;0,00;7,41
2013.0;1.0;2013-01-01;Alvorada;Sítio Imbutaia;MG;Bom Jardim de Minas;69,64;39,36;500,60;19,71;86,63;14,86;48,71;27,89;99,70;1,00;0,00;0,82
2013.0;1.0;2013-01-01;Alvorada;Sítio Paracatu;MG;Liberdade;24,84;20,58;497,00;19,00;87,19;14,18;51,02;26,71;99,62;4,00;0,00;7,41
2013.0;1.0;2013-01-01;Alvorada;Sítio das Marrecas;PR;Doutor Ulysses;77,73;35,17;113,82;20,41;85,78;12,99;46,62;30,11;100,00;4,00;0,00;1,86
2013.0;1.0;2013-01-01;Alvorada;Tapera;MG;Andrelândia;46,72;31,65;474,68;19,50;87,02;14,67;52,39;27,23;99,75;2,00;0,00;5,83
2013.0;1.0;2013-01-01;Alvorada;Três Pinheiros;PR;Arapoti;262,45;151,15;121,45;21,60;79,60;13,56;41,96;28,90;99,92;3,00;0,00;1,91
2013.0;1.0;2013-01-01;Alvorada;Vitória;PR;Sengés;50,71;35,73;116,65;19,39;85,84;12,21;43,86;27,52;99,83;5,00;0,00;22,98
2013.0;1.0;2013-01-01;Alvorada;Águas Claras;PR;Ventania;239,31;131,95;88,75;21,16;80,65;13,02;44,84;28,48;99,83;3,00;0,00;5,16
2013.0;1.0;2013-01-01;Araguari;Laranjeiras Cajueiro;BA;Inhambupe;1216,36;1128,24;62,19;26,73;69,06;21,66;27,87;35,15;98,08;0,00;0,00;1,49
2013.0;1.0;2013-01-01;Araguari;Reunidas Vitória;BA;Inhambupe;2096,86;1903,19;64,38;26,69;68,74;21,48;27,71;35,10;98,02;0,00;0,00;1,43
2013.0;1.0;2013-01-01;Araguari;Tanquinho;BA;Água Fria;797,69;714,44;65,24;26,67;67,10;20,91;26,47;34,99;97,41;0,00;0,00;0,99
2013.0;1.0;2013-01-01;Gurupi;Altamira;TO;Brejinho de Nazaré;332,02;106,38;357,81;25,39;86,25;21,91;56,49;32,10;99,40;0,00;0,00;7,28
2013.0;1.0;2013-01-01;Gurupi;Ana Paula;TO;Brejinho de Nazaré;1526,23;731,62;336,52;25,36;86,34;21,83;55,58;32,08;99,59;0,00;0,00;0,63
2013.0;1.0;2013-01-01;Gurupi;Boa Sorte;TO;Brejinho de Nazaré;248,70;0,00;349,72;25,34;86,28;21,85;56,18;32,03;99,38;0,00;0,00;6,02
2013.0;1.0;2013-01-01;Gurupi;Cabeceira Verde;TO;Santa Rita do Tocantins;413,92;0,00;378,43;25,31;86,65;21,88;57,33;32,27;99,40;0,00;0,00;30,44
2013.0;1.0;2013-01-01;Gurupi;Cachoeirinha;TO;Aliança do Tocantins;598,67;408,33;347,09;25,24;86,25;21,84;56,51;31,85;99,68;0,00;0,00;1,39
2013.0;1.0;2013-01-01;Gurupi;Capivara;TO;Brejinho de Nazaré;644,74;301,33;345,39;25,31;86,32;21,76;55,90;31,99;99,37;0,00;0,00;6,79
2013.0;1.0;2013-01-01;Gurupi;Curica;TO;Brejinho de Nazaré;431,20;319,23;344,02;25,31;86,32;21,76;55,90;31,99;99,37;0,00;0,00;6,79
2013.0;1.0;2013-01-01;Gurupi;Flor do Goias;TO;Crixás do Tocantins;2907,90;1717,67;368,00;25,22;86,58;21,51;57,24;31,98;99,61;0,00;0,00;4,53
2013.0;1.0;2013-01-01;Gurupi;Graciosa;TO;Brejinho de Nazaré;118,06;0,00;359,55;25,29;86,21;21,90;56,40;31,94;99,43;0,00;0,00;3,64
2013.0;1.0;2013-01-01;Gurupi;Lago Azul;TO;Brejinho de Nazaré;1045,08;197,35;349,27;25,36;86,28;21,86;56,28;32,06;99,38;0,00;0,00;7,10
2013.0;1.0;2013-01-01;Gurupi;Maranatha;TO;Brejinho de Nazaré;2833,60;1268,82;344,02;25,31;86,32;21,76;55,90;31,99;99,37;0,00;0,00;6,79
2013.0;1.0;2013-01-01;Gurupi;Pé de Serra;TO;Brejinho de Nazaré;1469,79;492,92;336,34;25,12;86,88;21,38;57,28;31,87;99,38;0,00;0,00;16,70
2013.0;1.0;2013-01-01;Gurupi;Quero-Quero;TO;Aliança do Tocantins;5101,04;2635,36;357,76;25,19;86,22;21,86;56,81;31,79;99,62;0,00;0,00;4,06
2013.0;1.0;2013-01-01;Gurupi;Recanto da Serra;TO;Brejinho de Nazaré;4380,36;904,84;318,35;24,51;87,31;20,86;56,55;31,22;99,62;0,00;0,00;19,12
2013.0;1.0;2013-01-01;Gurupi;Santa Barbara;TO;Dueré;2304,29;1183,23;349,52;25,28;86,47;21,85;57,56;32,09;99,51;0,00;0,00;17,25
2013.0;1.0;2013-01-01;Gurupi;Santo Antonio;TO;Brejinho de Nazaré;311,17;82,27;346,22;25,31;86,32;21,76;55,90;31,99;99,37;0,00;0,00;6,79
2013.0;1.0;2013-01-01;Gurupi;Santo Reis;TO;Crixás do Tocantins;659,27;298,11;357,24;25,21;86,48;21,61;56,99;31,92;99,70;0,00;0,00;3,20
